,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At this moment you have selected:,,,1310,values (out of 1310 in total).,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,USED?,ECOSYSTEM,,SERVICE,,CASE STUDY LOCATION,,,,,,,,,,VALUE INFORMATION,,,,,,,ADDITIONAL INFORMATION,,REFERENCE,,,
357,FALSE,Coastal,Continental Shelf Sea,Soil fertility,Nutrient cycling,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,1787,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",191484,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
358,FALSE,Coastal,Continental Shelf Sea,BioControl,Biological Control [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,49,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",191484,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
359,FALSE,Coastal wetlands,Salt water wetlands,Extreme events,Prevention of extreme events [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,766,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",2494,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
360,FALSE,Coastal wetlands,Salt water wetlands,Waste,Water purification,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,13376,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",2494,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
361,FALSE,Coastal wetlands,Salt water wetlands,Genepool,Biodiversity protection,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,497,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",2494,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
362,TRUE,Coastal wetlands,Salt water wetlands,Recreation,Recreation,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,64,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",2494,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
363,FALSE,Coastal wetlands,Salt water wetlands,Cultural service [general],Cultural values [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,445,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",2494,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
364,FALSE,Coastal wetlands,Salt water wetlands,TEV,TEV,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,15147,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",2494,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
365,FALSE,Coastal,Continental Shelf Sea,TEV,TEV,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,3210,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",191484,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
366,FALSE,Forests [Temperate and Boreal],Temperate forest general,Climate,Climate regulation [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,133,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",350472,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
367,TRUE,Forests [Temperate and Boreal],Temperate forest general,Water,Water [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,403,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",350472,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
368,FALSE,Forests [Temperate and Boreal],Temperate forest general,Erosion,Erosion prevention,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,122,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",350472,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
369,FALSE,Forests [Temperate and Boreal],Temperate forest general,Soil fertility,Soil formation,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,12,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",350472,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
370,FALSE,Forests [Temperate and Boreal],Temperate forest general,Waste,Water purification,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,109,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",350472,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
371,TRUE,Forests [Temperate and Boreal],Temperate forest general,Pollination,Pollination [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,400,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",350472,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
372,FALSE,Forests [Temperate and Boreal],Temperate forest general,BioControl,Biological Control [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,5,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",350472,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
373,TRUE,Forests [Temperate and Boreal],Temperate forest general,Genepool,Biodiversity protection,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,2281,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",350472,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
374,FALSE,Forests [Temperate and Boreal],Temperate forest general,Genetic,Genetic resources [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,20,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",350472,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
375,FALSE,Forests [Temperate and Boreal],Temperate forest general,Recreation,Recreation,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,301,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",350472,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
376,FALSE,Forests [Temperate and Boreal],Temperate forest general,Cultural service [general],Cultural values [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,2,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",350472,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
377,FALSE,Grasslands,Temperate natural grasslands,Climate,Climate regulation [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,7,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",37010,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
378,FALSE,Grasslands,Temperate natural grasslands,Water flows,Water regulation [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,5,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",37010,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
379,FALSE,Grasslands,Temperate natural grasslands,Erosion,Erosion prevention,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,37,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",37010,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
380,FALSE,Grasslands,Temperate natural grasslands,Soil fertility,Soil formation,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,7,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",37010,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
381,FALSE,Grasslands,Temperate natural grasslands,Waste,Water purification,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,109,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",37010,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
382,FALSE,Grasslands,Temperate natural grasslands,Pollination,Pollination [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,32,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",37010,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
383,FALSE,Grasslands,Temperate natural grasslands,BioControl,Biological Control [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,30,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",37010,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
385,FALSE,Cultivated,Croplands,Pollination,Pollination [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,20,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",246416,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
386,FALSE,Cultivated,Croplands,BioControl,Biological Control [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,30,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",246416,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
387,FALSE,Cultivated,Croplands,Genepool,Biodiversity protection,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,2053,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",246416,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
388,FALSE,Cultivated,Croplands,Recreation,Recreation,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,37,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",246416,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
389,FALSE,Inland Wetlands,Wetlands [unspecified],Climate,Climate regulation [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,311,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",73,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
390,FALSE,Inland Wetlands,Wetlands [unspecified],Extreme events,Prevention of extreme events [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,9037,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",73,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
391,FALSE,Inland Wetlands,Wetlands [unspecified],Water flows,Water regulation [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,7378,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",73,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
392,FALSE,Inland Wetlands,Wetlands [unspecified],Water,Water [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,3815,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",73,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
393,FALSE,Inland Wetlands,Wetlands [unspecified],Waste,Water purification,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,2071,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",73,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
394,FALSE,Inland Wetlands,Wetlands [unspecified],Genepool,Biodiversity protection,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,279,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",73,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
395,FALSE,Inland Wetlands,Wetlands [unspecified],Recreation,Recreation,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,3474,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",73,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
396,TRUE,Fresh water,Open water [general],Water,Water [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,1011,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",5611,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
397,FALSE,Inland Wetlands,Wetlands [unspecified],Cultural service [general],Cultural values [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,2199,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",73,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
398,FALSE,Fresh water,Open water [general],TEV,TEV,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,1890,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",5611,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
399,TRUE,Fresh water,Open water [general],Recreation,Recreation,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,880,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",5611,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
400,FALSE,Inland Wetlands,Riparian buffer,TEV,TEV,Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,8359,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",2558,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
401,TRUE,Inland Wetlands,Riparian buffer,Extreme events,Prevention of extreme events [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,217,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",2558,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
402,TRUE,Inland Wetlands,Riparian buffer,Water,Water [unspecified],Spain,High Income: (OECD),Low density,Partially protected,Province / Region,"Catalonia, Spain",Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,FALSE,Benefit Transfer,Annual,4747,USD/ha/yr,US Dollar,"total area of the coastal zone of catalonia is 922,892ha",2558,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
